,Name,Goal,GPG,Assist,APG,Block,BPG,Turn,TPG,Games,Standing,Spirit,wg13,Team_BENT,Team_BRUTESQUAD,Team_FURY,Team_GREENMEANSGO,Team_HEIST,Team_MOLLYBROWN,Team_NEMESIS,Team_NIGHTLOCK,Team_OZONE,Team_PHOENIX,Team_RIOT,Team_SCANDAL,Team_SCHWA,Team_SHOWDOWN,Team_TABBYROSA,Team_TEAMUSA,Team_UNDERGROUND,wugc16_tryouts,Team_WUGC16
469,NICKY BLOOM,6.0,0.5,3.0,0.25,,,,,12.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
470,NICOLA BRUCE,1.0,0.25,0.0,0.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
471,NIKKI ROSS,3.0,0.75,10.0,2.5,,,,,4.0,15.0,13.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
472,NOEL HANZEL,11.0,2.75,1.0,0.25,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
473,NORA CARR,1.5,0.244047619047,1.25,0.392857142857,2.0,0.285714285714,4.0,0.571428571429,5.25,2.25,10.8666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
474,OCTAVIA PAYNE,3.75,0.565476190476,11.5,1.69642857143,8.0,1.14285714286,17.0,2.42857142857,6.5,1.5,9.46666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,1,1
475,OLIVIA BARTRUFF,9.5,1.73214285714,1.0,0.142857142857,,,,,5.5,10.0,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
476,OLUFUNMILOLA (LOVE) ANJONRIN-OHU,0.0,0.0,0.0,0.0,,,,,4.0,11.0,14.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
477,PAIGE APPLEGATE,5.0,0.877777777777,1.0,0.166666666667,0.0,0.0,4.0,0.666666666667,5.66666666667,7.66666666667,9.62333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
478,PAIGE CARVER,1.5,0.271428571429,0.0,0.0,,,,,6.0,7.0,10.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
479,PAIGE SOPER,8.0,1.14285714286,6.0,0.857142857143,,,,,7.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
480,PAULA SEVILLE,5.33333333333,0.833333333334,10.6666666667,1.70634920635,2.0,0.333333333333,8.0,1.33333333333,6.33333333333,3.0,9.52333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
481,PHEBE KEMMER,0.5,0.1,0.0,0.0,,,,,6.0,7.0,10.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
482,PHOEBE SHAMBAUGH,0.0,0.0,1.0,0.166666666667,1.0,0.166666666667,0.0,0.0,6.0,5.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
483,QING (JENNY) WEI,15.0,2.14285714286,3.0,0.428571428571,,,,,7.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
484,QUINNE FARENWALD,1.5,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
485,QXHNA TITCOMB,4.0,0.607142857143,3.0,0.464285714286,,,,,6.5,2.5,13.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0
486,RACHAEL ROMANIAK,0.0,0.0,1.0,0.25,,,,,5.5,10.0,12.855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
487,RACHAEL WESTGATE,7.33333333333,1.4126984127,2.66666666667,0.56746031746,0.0,0.0,3.0,0.5,5.66666666667,8.0,9.96,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
